"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
153983.156250,45967.000000,219536.625000,65565.000000,21013.000000,204486.156250,190.279999,4446.189941,978.880005,1.258186
105253.523438,59804.000000,115341.695312,53244.000000,24771.000000,140866.281250,1727.260010,2217.110107,659.679993,1.258186
74424.320312,47220.000000,103292.507812,21807.000000,12234.000000,116817.359375,119.260002,1198.330078,397.670013,1.258186
82545.164062,43006.000000,125788.953125,38802.000000,19540.000000,130139.609375,37.520000,1198.330078,445.550018,1.260333
114989.882812,62673.000000,120242.796875,52846.500000,28264.000000,122535.664062,92.459999,1976.380005,658.350037,1.260333
81782.484375,48041.000000,111565.062500,50329.500000,21715.000000,151894.734375,105.860001,2816.940186,800.660034,1.260333
91422.242188,47123.000000,127144.875000,51582.000000,24029.000000,140683.265625,117.920006,1787.520020,555.940002,1.260333
85125.757812,42275.000000,131964.562500,102784.500000,35976.000000,187238.296875,763.800049,4370.380371,1143.800049,1.260333
91828.882812,57087.000000,105419.757812,37998.000000,16688.000000,149223.218750,140.699997,2472.469971,755.440002,1.262480
24908.080078,20237.000000,80662.937500,20679.000000,14562.000000,93065.437500,584.239990,766.080017,220.780014,1.262480
120930.320312,49425.000000,160349.812500,131016.000000,45430.000000,188999.890625,259.959991,4370.380371,1232.910034,1.262480
51693.882812,28049.000000,120781.867188,41034.000000,26120.000000,102955.750000,34.840000,2106.719971,550.619995,1.262480
115976.125000,60619.000000,125383.312500,61692.000000,26353.000000,153418.859375,2228.420166,1074.640015,325.850006,1.262480
8827.400391,8064.000000,71740.140625,1119.000000,1053.000000,69643.671875,9.380000,135.660004,-34.580002,1.262480
100584.523438,39942.000000,165036.984375,94722.000000,37458.000000,165724.312500,41553.402344,1859.340088,418.950012,1.264627
86832.359375,56208.000000,101242.625000,57570.000000,26343.000000,143222.390625,27263.640625,1004.150024,383.040009,1.264627
89146.164062,46856.000000,124685.906250,80106.000000,35986.000000,145885.265625,71.020004,1788.850098,466.830017,1.264627
222359.406250,73925.000000,197126.078125,94219.500000,39690.000000,155574.937500,243.880005,4685.590332,1403.150024,1.264627
7088.600098,6933.000000,67006.851562,751.500000,643.000000,76594.562500,-21.440001,-7.980000,-23.940001,1.264627
90606.203125,51131.000000,116132.445312,71262.000000,30692.000000,152164.296875,61.640003,1850.030029,506.730011,1.264627
81672.078125,39541.000000,135364.828125,94678.500000,41599.000000,149158.625000,139.360001,3106.880127,742.140015,1.266774
62387.960938,34648.000000,118005.593750,64345.500000,27272.000000,154625.515625,54.940002,2493.750000,849.870056,1.266774
103347.281250,52865.000000,128118.171875,73564.500000,26873.000000,179403.984375,144.720001,2887.430176,778.050049,1.266774
79673.843750,49136.000000,106266.382812,38467.500000,18857.000000,133690.734375,96.480003,2399.320068,543.970032,1.266774
138844.562500,74275.000000,122508.476562,44506.500000,23278.000000,125301.921875,52.260002,551.950012,321.860016,1.266774
89959.445312,48119.000000,122520.882812,68167.500000,27431.000000,162860.484375,88.440002,1493.590088,545.299988,1.266774
60767.839844,34448.000000,115608.500000,53994.000000,28145.000000,125725.734375,92.459999,1099.910034,315.210022,1.266774
136727.640625,65242.000000,137343.781250,84327.000000,33949.000000,162786.953125,282.740021,4346.439941,1223.600098,1.266774
165577.921875,78145.000000,138861.265625,58374.000000,23000.000000,166330.375000,170.180008,2931.320068,997.500061,1.268921
70128.843750,39815.000000,115432.976562,62590.500000,28311.000000,144888.250000,52.260002,1856.680054,496.090027,1.268921
46518.878906,25060.000000,121654.476562,52227.000000,26188.000000,130699.125000,20.100000,1703.730103,528.010010,1.268921
76165.882812,45546.000000,109594.851562,33309.000000,17993.000000,121321.554688,103.180000,1653.190063,496.090027,1.268921
77955.281250,36833.000000,138703.812500,72282.000000,28882.000000,164014.734375,237.180008,1915.200073,657.020020,1.268921
88257.445312,44499.000000,129981.343750,53241.000000,21870.000000,159542.859375,121.940002,1913.870117,603.820007,1.271068
55228.519531,30333.000000,119324.039062,61651.500000,25118.000000,160856.453125,116.580002,2037.560059,611.800049,1.271068
100177.882812,51486.000000,127515.406250,80637.000000,28462.000000,185673.062500,115.240005,5092.570312,1484.280029,1.271068
66629.164062,40967.000000,106588.437500,28530.000000,14191.000000,131755.484375,77.720001,1028.090088,280.630005,1.271068
58799.960938,34541.000000,111563.476562,41416.500000,18070.000000,150208.718750,72.360001,2170.560059,637.070007,1.271068
63756.000000,42035.000000,99400.812500,54505.500000,28471.000000,125463.539062,99.160004,3287.760010,881.790039,1.271068
61836.882812,33253.000000,121869.953125,47329.500000,23043.000000,134608.609375,67.000000,2562.910156,759.430054,1.271068
9167.799805,6300.000000,95368.406250,15112.500000,8849.000000,111923.695312,300.160004,1219.609985,367.080017,1.271068
73452.804688,41512.000000,115961.726562,41358.000000,22412.000000,120936.898438,34.840000,1679.790039,494.760010,1.273215
69216.203125,39462.000000,114949.898438,44497.500000,19967.000000,146050.390625,46.900002,1553.440063,559.929993,1.273215
63388.921875,35597.000000,116702.437500,78667.500000,32390.000000,159171.140625,131.320007,3059.000000,700.910034,1.273215
98823.640625,49708.000000,130291.023438,67672.500000,30570.000000,145076.375000,105.860001,1599.990112,549.290039,1.273215
171863.359375,58286.000000,193240.875000,137860.500000,32925.000000,262143.000000,357.779999,6264.300293,1750.280029,1.275362
105658.320312,60214.000000,114996.914062,72618.000000,34133.000000,139427.937500,286.760010,2150.610107,486.780029,1.275362
84079.718750,43467.000000,126768.546875,31225.500000,14769.000000,138560.109375,29.480001,1725.010010,444.220001,1.275362
156764.328125,54196.000000,189565.781250,82587.000000,27768.000000,194915.781250,225.120010,4636.380371,1448.369995,1.275362
109965.765625,54869.000000,131344.046875,61482.000000,31083.000000,129629.843750,68.340004,4330.479980,1203.650024,1.275362
55583.640625,33203.000000,109710.851562,38428.500000,17899.000000,140703.406250,69.680000,1941.800049,506.730011,1.275362
100817.281250,54190.000000,121925.843750,100903.500000,35198.000000,187874.640625,127.300003,2515.030029,735.490051,1.277509
108835.078125,49852.000000,143075.828125,69532.500000,29572.000000,154094.468750,154.100006,2504.390137,622.440002,1.277509
51146.480469,34022.000000,98522.593750,34188.000000,17198.000000,130279.382812,29.480001,803.320007,348.460022,1.277509
94403.039062,43477.000000,142300.468750,111868.500000,33531.000000,218645.859375,254.600006,3118.850098,766.080017,1.277509
93893.359375,55624.000000,110624.835938,70255.500000,31774.000000,144906.671875,81.740005,3984.680176,1065.330078,1.277509
70487.640625,38756.000000,119193.882812,41565.000000,21813.000000,124879.835938,-17.420000,2564.239990,763.420044,1.277509
99818.164062,43088.000000,151821.453125,70843.500000,26126.000000,177708.031250,104.520004,2868.810059,767.410034,1.277509
197758.609375,58563.000000,221305.421875,171805.500000,33448.000000,262143.000000,167.500000,6141.940430,1760.920044,1.277509
81891.039062,37899.000000,141608.265625,68415.000000,25595.000000,175176.609375,148.740005,5244.189941,1461.670044,1.279656
87004.398438,47685.000000,119574.718750,82021.500000,32936.000000,163206.265625,123.280006,3299.730225,860.510010,1.279656
77912.960938,48737.000000,104768.523438,73440.000000,41029.000000,117306.390625,3451.840088,4823.910156,1427.090088,1.279656
80550.601562,47726.000000,110609.820312,44125.500000,21024.000000,137547.984375,108.540001,1077.300049,381.710022,1.279656
85123.000000,39872.000000,139913.250000,44662.500000,20431.000000,143262.765625,107.200005,1951.110107,605.150024,1.279656
121578.921875,48182.000000,165368.734375,67509.000000,23096.000000,191560.000000,89.779999,4395.649902,1090.599976,1.279656
85364.960938,44778.000000,124938.101562,83968.500000,28444.000000,193466.453125,219.760010,1521.520020,498.750031,1.279656
167108.796875,48485.000000,225876.906250,141544.500000,28311.000000,262143.000000,381.900024,4349.100098,1166.410034,1.281804
92685.398438,44322.000000,137047.750000,86811.000000,37267.000000,152661.765625,123.280006,2081.449951,654.360046,1.281804
56810.000000,38119.000000,97670.460938,15115.500000,8653.000000,114481.609375,123.280006,623.770020,206.150009,1.281804
74341.523438,40296.000000,120906.445312,55113.000000,24125.000000,149715.468750,101.840004,2671.969971,730.170044,1.281804
130580.203125,62736.000000,136408.218750,74595.000000,33525.000000,145821.265625,48.240002,1956.430054,750.119995,1.283951
76244.078125,40007.000000,124896.437500,72219.000000,30578.000000,154782.671875,151.419998,2100.070068,498.750031,1.283951
78603.882812,48591.000000,106015.195312,52257.000000,22574.000000,151710.593750,72.360001,2070.810059,626.429993,1.283951
78710.601562,44607.000000,115640.546875,66756.000000,23687.000000,184697.156250,107.200005,3141.460205,875.140015,1.283951
79476.960938,39555.000000,131680.000000,48415.500000,22137.000000,143332.812500,50.920002,1380.540039,412.300018,1.283951
66359.601562,40447.000000,107522.007812,45006.000000,23667.000000,124625.562500,44.220001,2102.729980,622.440002,1.283951
82935.242188,51511.000000,105516.171875,79201.500000,44335.000000,117075.671875,68.340004,9038.680664,2356.760010,1.286098
