"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
55722.562500,33984.000000,107457.460938,49200.000000,23204.000000,138957.562500,65.660004,1889.930054,1242.220093,0.972434
102982.960938,54311.000000,124267.484375,44100.000000,18898.000000,152933.515625,117.920006,3829.070068,1484.280029,0.974534
262143.000000,79552.000000,215956.890625,262143.000000,56061.000000,262143.000000,797.300049,20672.191406,6590.150391,0.974534
129347.406250,46230.000000,183363.859375,126159.000000,31970.000000,258616.093750,215.740005,3805.130127,1359.260010,0.974534
99774.921875,60863.000000,107435.531250,26041.500000,13637.000000,125148.914062,60.300003,1512.210083,700.910034,0.976634
66348.562500,36418.000000,119397.531250,77983.500000,33772.000000,151330.296875,50.920002,2280.950195,861.840027,0.978735
93787.562500,47103.000000,130489.812500,59106.000000,22326.000000,173500.437500,135.339996,2001.650024,589.190002,0.978735
91448.000000,53392.000000,112247.835938,77224.500000,31834.000000,158980.484375,112.560005,3062.989990,1118.530029,0.978735
10512.839844,9417.000000,73162.320312,2010.000000,1856.000000,70973.796875,54.940002,71.820000,-10.640000,0.978735
49904.480469,30410.000000,107548.179688,27823.500000,13933.000000,130872.101562,16.080000,1536.150024,460.180023,0.978735
80613.164062,41053.000000,128688.867188,25714.500000,12980.000000,129832.468750,136.680008,3717.350098,1397.830078,0.978735
69144.437500,37365.000000,121275.250000,64725.000000,26999.000000,157110.171875,96.480003,3000.479980,1161.090088,0.980835
47904.402344,31149.000000,100788.562500,80766.000000,42978.000000,123157.906250,2310.160156,4791.990234,2054.850098,0.980835
39463.402344,28507.000000,90724.156250,43608.000000,27856.000000,102595.265625,10458.700195,1304.730103,728.840027,0.980835
73520.882812,47076.000000,102350.765625,49129.500000,22082.000000,145808.843750,91.120003,1661.170044,680.960022,0.980835
82524.921875,41919.000000,129019.132812,55593.000000,21990.000000,165681.796875,72.360001,2425.920166,771.400024,0.982935
73984.562500,39990.000000,121246.625000,58041.000000,21853.000000,174061.906250,192.960007,1701.070068,735.490051,0.982935
70627.484375,36714.000000,126072.968750,84892.500000,22663.000000,245488.906250,156.779999,3536.470215,1135.820068,0.982935
78791.562500,41326.000000,124950.000000,66897.000000,30067.000000,145813.078125,152.760010,4099.060059,1971.060059,0.982935
103128.320312,64040.000000,105537.437500,30163.500000,15698.000000,125926.562500,52.260002,1431.080078,535.989990,0.985036
56940.640625,29685.000000,125708.664062,49401.000000,20253.000000,159855.031250,89.779999,3214.610107,1207.640015,0.985036
40089.000000,33698.000000,77965.242188,4936.500000,3828.000000,84513.703125,-20.100000,121.030006,54.530003,0.985036
13355.640625,7876.000000,111131.960938,1707.000000,988.000000,113228.695312,38.860001,186.200012,23.940001,0.985036
86452.398438,39868.000000,142112.593750,24145.500000,12497.000000,126622.343750,10.720000,1482.950073,446.880005,0.987136
94697.445312,50244.000000,123519.062500,50824.500000,24813.000000,134237.468750,124.620003,1953.770020,895.090027,0.987136
68682.601562,36152.000000,124507.164062,50260.500000,20488.000000,160770.812500,101.840004,3137.470215,1167.739990,0.987136
73679.125000,41099.000000,117487.906250,51463.500000,24392.000000,138271.234375,115.240005,2292.920166,1581.369995,0.989236
123536.679688,53454.000000,151459.187500,66423.000000,27965.000000,155662.359375,73.700005,4496.729980,2246.370117,0.989236
69935.640625,36969.000000,123976.914062,60826.500000,27761.000000,143594.453125,87.099998,1607.970093,518.700012,0.991336
117971.601562,54229.000000,142569.234375,112477.500000,34289.000000,214976.390625,711.540039,5218.920410,2376.709961,0.991336
74744.484375,37345.000000,131167.609375,47413.500000,22973.000000,135258.390625,76.380005,3355.590088,1380.540039,0.991336
73730.640625,37071.000000,130344.781250,51580.500000,24857.000000,135993.062500,54.940002,1968.400024,707.559998,0.991336
86692.523438,41983.000000,135328.156250,75138.000000,30355.000000,162221.843750,108.540001,2175.880127,1079.960083,0.993437
95187.804688,57796.000000,107935.289062,30642.000000,13892.000000,144554.718750,65.660004,3198.650146,1840.720093,0.993437
83455.039062,51077.000000,107079.687500,35868.000000,12151.000000,193452.812500,104.520004,1395.170044,400.330017,0.993437
5194.320312,5420.000000,62807.191406,961.500000,913.000000,69017.382812,33.500000,43.890003,37.240002,0.995537
5348.879883,5579.000000,62832.800781,562.500000,716.000000,51486.035156,42.880001,58.520000,27.930000,0.995537
80238.718750,46296.000000,113584.867188,35595.000000,17740.000000,131496.843750,104.520004,2233.070068,1452.360107,0.995537
99783.203125,46194.000000,141563.656250,130977.000000,47945.000000,179032.421875,143.380005,8244.669922,3134.810059,0.995537
118953.242188,54689.000000,142546.406250,42358.500000,15573.000000,178257.671875,147.400009,3021.760010,1792.840088,0.995537
147082.250000,58329.000000,165255.406250,63811.500000,27354.000000,152882.609375,155.440002,2996.489990,783.369995,0.995537
75194.359375,41636.000000,118357.617188,85483.500000,40719.000000,137583.109375,73.700005,3738.630127,1029.420044,0.997637
6106.040039,5181.000000,77237.109375,1153.500000,827.000000,91409.648438,5.360000,183.540009,23.940001,0.997637
73938.562500,45611.000000,106238.359375,79771.500000,33665.000000,155292.000000,105.860001,2186.520020,647.710022,0.997637
66617.203125,35201.000000,124025.593750,57447.000000,23159.000000,162565.171875,97.820000,2441.880127,811.300049,0.997637
79147.601562,40387.000000,128432.843750,49920.000000,22097.000000,148054.359375,163.480011,5797.470215,4571.209961,0.997637
71861.203125,40951.000000,115003.195312,43339.500000,19452.000000,146015.718750,91.120003,5176.360352,4811.939941,0.997637
77568.882812,40836.000000,124487.078125,48085.500000,18553.000000,169855.625000,84.420006,2667.979980,837.900024,0.997637
74503.437500,47230.000000,103380.421875,31414.500000,16137.000000,127581.382812,135.339996,2194.500000,879.130005,0.999737
94897.078125,58094.000000,107053.664062,29719.500000,12894.000000,151054.531250,76.380005,1016.120056,768.740051,0.999737
59252.601562,38587.000000,100634.375000,22338.000000,11887.000000,123154.984375,40.200001,1001.490051,184.870010,0.999737
6159.399902,5166.000000,78138.289062,7978.500000,5725.000000,91332.578125,176.880005,497.420013,171.570007,0.999737
85918.804688,40576.000000,138771.078125,88360.500000,33689.000000,171889.734375,180.900009,1552.110107,575.890015,0.999737
102045.484375,54429.000000,122869.296875,62569.500000,21009.000000,195180.859375,132.660004,3160.080078,1232.910034,0.999737
89863.757812,46498.000000,126657.304688,70080.000000,26970.000000,170291.546875,151.419998,3766.560059,1255.520020,1.001838
58182.640625,34229.000000,111398.453125,40933.500000,18858.000000,142253.562500,129.979996,2225.090088,639.730042,1.001838
132370.515625,65323.000000,132802.140625,49953.000000,21319.000000,153558.781250,164.820007,2326.170166,871.150024,1.001838
88155.320312,50467.000000,114477.710938,38523.000000,16340.000000,154506.953125,58.960003,4690.910156,2214.449951,1.001838
18404.599609,13275.000000,90859.796875,3129.000000,1920.000000,106803.203125,10.720000,183.540009,14.630000,1.001838
56729.042969,38966.000000,95411.234375,39342.000000,21969.000000,117361.625000,56.280003,1659.840088,436.240021,1.001838
71815.203125,47362.000000,99372.523438,19687.500000,11377.000000,113407.750000,129.979996,1157.100098,307.230011,1.001838
114172.000000,63829.000000,117225.343750,33379.500000,16362.000000,133697.515625,89.779999,3551.100098,1219.609985,1.001838
72988.203125,39862.000000,119997.867188,41871.000000,19113.000000,143570.234375,88.440002,2749.110107,1482.950073,1.001838
74538.398438,38351.000000,127374.726562,49810.500000,22170.000000,147243.171875,108.540001,4698.890137,1795.500000,1.003938
16687.880859,8245.000000,132644.859375,21363.000000,6914.000000,202494.312500,1873.320068,301.910004,74.480003,1.003938
8264.360352,8388.000000,64569.996094,1273.500000,1349.000000,61868.128906,-17.420000,-33.250000,-3.990000,1.003938
93437.039062,49320.000000,124158.351562,57487.500000,23364.000000,161252.390625,84.420006,3420.760010,1412.460083,1.003938
70791.242188,40070.000000,115781.750000,47244.000000,23986.000000,129082.914062,109.880005,3040.380127,1492.260010,1.003938
87500.281250,42091.000000,136238.593750,81945.000000,33711.000000,159305.500000,77.720001,1968.400024,516.040039,1.003938
80582.804688,39815.000000,132640.328125,79119.000000,22870.000000,226722.468750,65.660004,3209.290039,931.000000,1.003938
24832.640625,15558.000000,104604.187500,137058.000000,62293.000000,144193.296875,293.460022,1361.920044,380.380005,1.003938
76055.484375,38524.000000,129383.562500,53967.000000,23173.000000,152625.093750,144.720001,1661.170044,699.580017,1.003938
57476.082031,33625.000000,112022.382812,38683.500000,18876.000000,134306.093750,309.540009,1231.580078,516.040039,1.006038
