"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
79734.562500,49148.000000,106321.414062,27919.500000,13639.000000,134154.437500,53.600002,2318.190186,792.680054,0.806601
67918.078125,38320.000000,116155.523438,39624.000000,18599.000000,139620.343750,93.800003,873.810059,247.380005,0.806601
113264.882812,62447.000000,118867.640625,43227.000000,21334.000000,132789.203125,188.940002,1655.850098,417.620026,0.806601
95218.164062,52368.000000,119160.898438,49158.000000,19785.000000,162831.375000,140.699997,1933.820068,404.320007,0.808013
262143.000000,69465.000000,247315.968750,166302.000000,32691.000000,262143.000000,1668.300049,4672.290039,1376.550049,0.808013
80920.445312,48634.000000,109043.109375,56011.500000,17993.000000,204010.984375,15907.140625,812.630005,367.080017,0.809426
262143.000000,90738.000000,189334.171875,262143.000000,81029.000000,212020.437500,1377.520020,18691.820312,5600.630371,0.809426
83581.078125,45514.000000,120349.109375,35193.000000,17425.000000,132362.031250,211.720001,1601.320068,501.410004,0.810839
192962.640625,60262.000000,209850.328125,132105.000000,28212.000000,262143.000000,688.760010,8043.840332,2125.340088,0.810839
106596.718750,62745.000000,111338.320312,33438.000000,17094.000000,128196.609375,88.440002,2118.690186,494.760010,0.812251
262143.000000,68232.000000,251785.140625,261123.000000,55014.000000,262143.000000,588.260010,9839.339844,2839.550049,0.812251
194167.843750,59485.000000,213919.203125,180013.500000,35516.000000,262143.000000,832.140015,4749.430176,1441.720093,0.812251
262143.000000,63183.000000,262143.000000,262143.000000,56662.000000,262143.000000,1250.219971,10038.839844,3043.040039,0.813664
81832.164062,46987.000000,114136.945312,35038.500000,17364.000000,132243.906250,179.559998,809.970032,252.700012,0.813664
102823.804688,52607.000000,128094.375000,40893.000000,15821.000000,169392.812500,112.560005,2122.680176,450.870026,0.813664
130984.085938,71311.000000,120376.562500,38296.500000,17354.000000,144623.687500,753.080017,756.770020,247.380005,0.815076
157424.890625,75177.000000,137236.078125,43576.500000,15917.000000,179420.093750,124.620003,2773.050049,859.180054,0.815076
262143.000000,83950.000000,204643.296875,262143.000000,61449.000000,262143.000000,1042.520020,9720.970703,2960.580078,0.815076
262143.000000,68552.000000,250609.812500,248848.500000,40921.000000,262143.000000,774.520020,11749.220703,2932.650146,0.816489
262143.000000,87364.000000,196646.265625,262143.000000,49225.000000,262143.000000,1775.500000,7836.360352,2294.250000,0.816489
150610.437500,76686.000000,128711.960938,44542.500000,20445.000000,142780.015625,50.920002,2787.680176,684.950012,0.816489
63141.441406,37607.000000,110033.703125,99384.000000,45135.000000,144305.531250,15956.720703,670.320007,67.830002,0.816489
80434.679688,49117.000000,107322.656250,46812.000000,20528.000000,149448.140625,105.860001,1295.420044,267.330017,0.817902
121067.398438,55037.000000,144162.531250,72576.000000,29587.000000,160757.796875,180.900009,3577.700195,927.010010,0.817902
262143.000000,71886.000000,238986.796875,262143.000000,108968.000000,157659.171875,1672.320068,25445.560547,7126.140137,0.817902
10626.919922,9937.000000,70086.125000,3811.500000,3252.000000,76811.343750,48.240002,53.200001,9.310000,0.817902
96262.359375,48327.000000,130540.906250,35518.500000,18421.000000,126363.414062,121.940002,1469.650024,377.720001,0.817902
212377.406250,66366.000000,209721.328125,215001.000000,48064.000000,262143.000000,33035.019531,1987.020020,803.320007,0.819314
123583.601562,63204.000000,128143.390625,51937.500000,21888.000000,155508.781250,196.980011,1854.020020,528.010010,0.819314
109882.960938,61196.000000,117675.828125,68121.000000,29203.000000,152873.968750,196.980011,1852.690063,532.000000,0.819314
262143.000000,81720.000000,210227.640625,262143.000000,96969.000000,177168.015625,1597.280029,21346.500000,6898.710449,0.819314
142597.250000,44997.000000,207686.156250,93001.500000,21815.000000,262143.000000,272.020020,4146.939941,1193.010010,0.820727
117919.164062,56255.000000,137373.562500,38979.000000,16389.000000,155868.421875,97.820000,3628.240234,1032.080078,0.820727
